AYUNTAMIENTOS
02/07/2018 20:00 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
7547,7392,0,7392,97.9462,6115,81.0255,4.0413,1276,3634952,2466358,2465153,67.8180

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PV,MC,NA,CPP,PSI,MORENA,PES,C_PT_MORENA_PES,C_PT_MORENA,C_PT_PES,C_MORENA_PES,C_PRI_NA,C_PAN_PRD_MC_CPP_PSI,C_PAN_PRD_MC_CPP,C_PAN_PRD_MC_PSI,C_PAN_PRD_CPP_PSI,C_PAN_MC_CPP_PSI,C_PRD_MC_CPP_PSI,C_PAN_PRD_MC,C_PAN_PRD_CPP,C_PAN_PRD_PSI,C_PAN_MC_CPP,C_PAN_MC_PSI,C_PAN_CPP_PSI,C_PRD_MC_CPP,C_PRD_MC_PSI,C_PRD_CPP_PSI,C_MC_CPP_PSI,C_PAN_PRD,C_PAN_MC,C_PAN_CPP,C_PAN_PSI,C_PRD_MC,C_PRD_CPP,C_PRD_PSI,C_MC_CPP,C_MC_PSI,C_CPP_PSI,C_NA_CPP,C_PV_CPP_PSI,C_PV_CPP,C_PV_PSI,CAND_IND_1,CAND_IND_2,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'210001B0100,210001B010002,21,PUEBLA,001,ACAJETE,0001,01,B,00,2,2,165,437,6,443,30,17,18,14,2,62,2,9,3,263,8,8,0,0,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,12,443,452,586,6,,1,F,19dbdb98e7d93798fa5c4b92265784047d16121f48f09abc998593e7d4f4c844,2018-07-02 04:27:00,2018-07-02 04:52:51,2018-07-02 04:55:26,CATD,Escaner,ACTA PREP
'210001C0100,210001C010002,21,PUEBLA,001,ACAJETE,0001,01,C,00,2,2,176,427,6,427,30,21,16,12,2,69,1,6,3,233,9,2,6,0,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,16,433,427,585,6,,1,F,19cc38ac9650a4dcf9b022d56280aa47eea74989306856ba4346b29dd3228b58,2018-07-02 04:32:00,2018-07-02 04:59:48,2018-07-02 05:03:08,CATD,Escaner,ACTA PREP
'210001C0200,210001C020002,21,PUEBLA,001,ACAJETE,0001,02,C,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,,Sin Acta,0,,,,,,,,
'210001C0300,210001C030002,21,PUEBLA,001,ACAJETE,0001,03,C,00,2,2,148,444,7,0,38,31,16,23,11,40,1,6,11,246,7,12,2,0,6,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0,5,451,458,585,7,,1,F,be135bbccb3ea044606c5a833eb57a78e2e23fd272003b016bf72c31e99559d8,2018-07-02 04:41:00,2018-07-02 05:01:11,2018-07-02 05:03:27,CATD,Escaner,ACTA PREP
'210002B0100,210002B010002,21,PUEBLA,001,ACAJETE,0002,01,B,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,,Sin Acta,0,,,,,,,,
'210002C0100,210002C010002,21,PUEBLA,001,ACAJETE,0002,01,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,,Sin Acta,0,,,,,,,,
'210002C0200,210002C020002,21,PUEBLA,001,ACAJETE,0002,02,C,00,1,2,183,439,2,441,16,18,28,12,9,43,0,9,12,256,6,8,1,0,7,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0,14,441,442,604,2,,1,F,3948dbf0843e5e34420b4d6ef21dd9ff8f3f7be6fee367966d4fd6be814e85dd,2018-07-02 05:59:00,2018-07-02 06:08:41,2018-07-02 06:08:49,CATD,Escaner,ACTA PREP
'210002C0300,210002C030002,21,PUEBLA,001,ACAJETE,0002,03,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,,Sin Acta,0,,,,,,,,
'210003B0100,210003B010002,21,PUEBLA,001,ACAJETE,0003,01,B,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,,Sin Acta,0,,,,,,,,
'210003C0100,210003C010002,21,PUEBLA,001,ACAJETE,0003,01,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,,Sin Acta,0,,,,,,,,
'210003C0200,210003C020002,21,PUEBLA,001,ACAJETE,0003,02,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,,Sin Acta,0,,,,,,,,
'210004B0100,210004B010002,21,PUEBLA,001,ACAJETE,0004,01,B,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,,Sin Acta,0,,,,,,,,
'210004C0100,210004C010002,21,PUEBLA,001,ACAJETE,0004,01,C,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,,Sin Acta,0,,,,,,,,
'210004C0200,210004C020002,21,PUEBLA,001,ACAJETE,0004,02,C,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,,Sin Acta,0,,,,,,,,
'210004C0300,210004C030002,21,PUEBLA,001,ACAJETE,0004,03,C,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,,Sin Acta,0,,,,,,,,
'210005B0100,210005B010002,21,PUEBLA,001,ACAJETE,0005,01,B,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,,Sin Acta,0,,,,,,,,
'210005C0100,210005C010002,21,PUEBLA,001,ACAJETE,0005,01,C,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,,Sin Acta,0,,,,,,,,
'210005C0200,210005C020002,21,PUEBLA,001,ACAJETE,0005,02,C,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,,Sin Acta,0,,,,,,,,
'210005C0300,210005C030002,21,PUEBLA,001,ACAJETE,0005,03,C,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,,Sin Acta,0,,,,,,,,
'210006B0100,210006B010002,21,PUEBLA,001,ACAJETE,0006,01,B,00,2,2,235,415,1,417,39,15,10,13,0,28,1,6,92,184,6,6,4,0,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,0,8,416,417,632,1,,1,F,95602e3ddffa728ae8801126a46412cc899a589d93ea334767b6f5fded862da3,2018-07-02 01:59:00,2018-07-02 02:25:16,2018-07-02 02:25:55,CATD,Escaner,ACTA PREP
'210006C0100,210006C010002,21,PUEBLA,001,ACAJETE,0006,01,C,00,2,2,201,448,3,451,33,21,9,12,6,23,2,5,70,224,2,10,1,1,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0,26,451,451,632,3,,1,F,6b60843442adf68ca1021fca8adcd2f571d708f732adbd8553412915b5e1a2be,2018-07-02 02:15:00,2018-07-02 02:42:57,2018-07-02 02:43:50,CATD,Escaner,ACTA PREP
'210006C0200,210006C020002,21,PUEBLA,001,ACAJETE,0006,02,C,00,2,2,219,432,0,432,27,14,11,21,3,26,1,94,178,178,8,13,4,1,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0,19,432,603,631,0,,1,F,5a53a22f0877643ce6c71198a34b9ee75bc6c5dc2600cb407c5a19f62aee72a6,2018-07-02 02:11:00,2018-07-02 02:36:19,2018-07-02 02:38:07,CATD,Escaner,ACTA PREP
'210006C0300,210006C030002,21,PUEBLA,001,ACAJETE,0006,03,C,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,,Sin Acta,0,,,,,,,,
'210007B0100,210007B010002,21,PUEBLA,001,ACAJETE,0007,01,B,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,Sin Acta,0,,,,,,,,
'210007C0100,210007C010002,21,PUEBLA,001,ACAJETE,0007,01,C,00,1,2,258,451,11,462,33,11,13,24,4,22,0,2,147,161,1,5,1,0,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0,33,462,462,700,11,,1,F,5b271b3ce2a2c7a8daf588eacb3e47dd3f3a512c92697b177e6e16ba70cdde65,2018-07-02 04:00:00,2018-07-02 04:15:14,2018-07-02 04:21:58,CATD,Escaner,ACTA PREP
'210007C0200,210007C020002,21,PUEBLA,001,ACAJETE,0007,02,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,Sin Acta,0,,,,,,,,
'210007C0300,210007C030002,21,PUEBLA,001,ACAJETE,0007,03,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699,,Sin Acta,0,,,,,,,,
'210008B0100,210008B010002,21,PUEBLA,001,ACAJETE,0008,01,B,00,1,2,323,437,2,342,38,42,10,25,7,87,1,12,4,160,10,6,4,1,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,0,30,439,442,745,2,,1,F,e357a47783b2e5979122df508f0531c671fdb5325db78cd6ec7cb69fc8133cfe,2018-07-02 06:54:00,2018-07-02 07:12:52,2018-07-02 07:13:50,CATD,Escaner,ACTA PREP
'210008C0100,210008C010002,21,PUEBLA,001,ACAJETE,0008,01,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,,Sin Acta,0,,,,,,,,
'210008C0200,210008C020002,21,PUEBLA,001,ACAJETE,0008,02,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,,Sin Acta,0,,,,,,,,
'210008C0300,210008C030002,21,PUEBLA,001,ACAJETE,0008,03,C,00,1,2,313,450,6,452,32,38,5,32,2,75,5,10,12,160,5,8,2,0,6,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0,56,456,451,745,6,,1,F,ab9d836d662bc7dedebe1c9e487647ea0a45a95ef6e7fd26793d9ddcd50d44ae,2018-07-02 07:14:00,2018-07-02 07:18:45,2018-07-02 07:19:38,CATD,Escaner,ACTA PREP
'210009B0100,210009B010002,21,PUEBLA,001,ACAJETE,0009,01,B,00,2,2,238,380,9,392,0,48,0,0,4,94,0,4,10,0,0,156,0,0,0,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,0,43,389,392,607,9,,1,F,5a02d6baac0d72aeba6051bdca50dfc8c1ea9ebf86b6452b91c8a545611684b3,2018-07-02 06:39:00,2018-07-02 06:46:46,2018-07-02 06:47:56,CATD,Escaner,ACTA PREP
