ID_ESTADO,ID_MUNICIPIO,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
21,1,SUM-PAN-PRD-MC-CPP-PSI,,
21,1,SUM-PAN-PRD-MC-CPP,,
21,1,SUM-PAN-PRD-MC-PSI,,
21,1,SUM-PAN-PRD-CPP-PSI,,
21,1,SUM-PAN-MC-CPP-PSI,,
21,1,SUM-PAN-PRD-MC,,
21,1,SUM-PAN-PRD-CPP,,
21,1,SUM-PAN-PRD-PSI,,
21,1,SUM-PAN-MC-CPP,,
21,1,SUM-PAN-MC-PSI,,
21,1,SUM-PAN-CPP-PSI,,
21,1,SUM-PAN-PRD,RAUL AGUILAR REYES,
21,1,SUM-PAN-CPP,,
21,1,SUM-PAN-MC,,
21,1,SUM-PAN-PSI,,
21,1,PAN,,
21,1,SUM-PRI-NA,,
21,1,PRI,ROGELIO ALEJANDRO LEON GONZALEZ,
21,1,SUM-PRD-MC-CPP,,
21,1,SUM-PRD-MC-PSI,,
21,1,SUM-PRD-CPP-PSI,,
21,1,SUM-PRD-MC,,
21,1,SUM-PRD-CPP,,
21,1,SUM-PRD-PSI,,
21,1,PRD,,
21,1,SUM-PT-MOR-PES,ROBERTO RAMIREZ CERVANTES,
21,1,PT,,
21,1,SUM-PV-CPP-PSI,,
21,1,SUM-PV-CPP,,
21,1,SUM-PV-PSI,,
21,1,PV,RAUL LEON BARRANCO,
21,1,SUM-MC-CPP-PSI,,
21,1,SUM-MC-CPP,,
21,1,SUM-MC-PSI,,
21,1,MC,CARMELO MONTERO BARRANCO,
21,1,SUM-NA-CPP,,
21,1,NA,MARLENE GONZALEZ ADAUTA,
21,1,SUM-CPP-PSI,,
21,1,CPP,JORGE LEON BARRANCO,
21,1,PSI,GILBERTO DE ITA LEON,
21,1,MOR,,
21,1,PES,,
21,1,CI1,,
21,1,CI2,,
21,1,CNR,Candidaturas no registradas,
21,1,NULOS,Votos nulos,
21,2,SUM-PAN-PRD-MC-CPP-PSI,,
21,2,SUM-PAN-PRD-MC-CPP,,
21,2,SUM-PAN-PRD-MC-PSI,,
21,2,SUM-PAN-PRD-CPP-PSI,,
21,2,SUM-PAN-MC-CPP-PSI,,
21,2,SUM-PAN-PRD-MC,EDGAR DE JESUS MURRIETA NAVARRO,
21,2,SUM-PAN-PRD-CPP,,
21,2,SUM-PAN-PRD-PSI,,
21,2,SUM-PAN-MC-CPP,,
21,2,SUM-PAN-MC-PSI,,
