DIPUTACIONES LOCALES
02/07/2018 20:00 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
7547,7402,0,7402,98.0787,6201,82.1650,4.0413,1199,3689842,2491611,2486552,67.3891

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PV,MC,NA,CPP,PSI,MORENA,PES,C_PAN_PRD_MC_NA_CPP_PSI,C_PAN_PRD_MC_NA_CPP,C_PAN_PRD_MC_NA_PSI,C_PAN_PRD_MC_CPP_PSI,C_PAN_PRD_NA_CPP_PSI,C_PAN_MC_NA_CPP_PSI,C_PRD_MC_NA_CPP_PSI,C_PAN_PRD_MC_NA,C_PAN_PRD_MC_CPP,C_PAN_PRD_MC_PSI,C_PAN_PRD_NA_CPP,C_PAN_PRD_NA_PSI,C_PAN_PRD_CPP_PSI,C_PAN_MC_NA_CPP,C_PAN_MC_NA_PSI,C_PAN_MC_CPP_PSI,C_PAN_NA_CPP_PSI,C_PRD_MC_NA_CPP,C_PRD_MC_NA_PSI,C_PRD_MC_CPP_PSI,C_PRD_NA_CPP_PSI,C_MC_NA_CPP_PSI,C_PAN_PRD_MC,C_PAN_PRD_NA,C_PAN_PRD_CPP,C_PAN_PRD_PSI,C_PAN_MC_NA,C_PAN_MC_CPP,C_PAN_MC_PSI,C_PAN_NA_CPP,C_PAN_NA_PSI,C_PAN_CPP_PSI,C_PRD_MC_NA,C_PRD_MC_CPP,C_PRD_MC_PSI,C_PRD_NA_CPP,C_PRD_NA_PSI,C_PRD_CPP_PSI,C_MC_NA_CPP,C_MC_NA_PSI,C_MC_CPP_PSI,C_NA_CPP_PSI,C_PAN_PRD,C_PAN_MC,C_PAN_NA,C_PAN_CPP,C_PAN_PSI,C_PRD_MC,C_PRD_NA,C_PRD_CPP,C_PRD_PSI,C_MC_NA,C_MC_CPP,C_MC_PSI,C_NA_PSI,C_CPP_PSI,C_NA_CPP,C_PT_MORENA_PES,C_PT_MORENA,C_PT_PES,C_MORENA_PES,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'210001B0100,210001B010003,21,PUEBLA,012,AMOZOC DE MOTA,0001,01,B,00,2,3,163,437,6,443,45,28,9,13,13,36,4,5,4,240,7,,,,0,,,,,0,0,,,0,,,0,,,,0,,,0,,0,0,,0,0,,,0,,0,0,,,0,,,0,,0,1,,0,0,0,,0,0,,0,0,,0,,8,1,0,2,0,26,443,442,586,6,,1,F,1e7647fe3da7fc8f01bac2ea0669dc908d8e2358058112d245d2d2214c20ef66,2018-07-02 04:27:00,2018-07-02 04:50:22,2018-07-02 04:53:40,CATD,Escaner,ACTA PREP
'210001C0100,210001C010003,21,PUEBLA,012,AMOZOC DE MOTA,0001,01,C,00,2,3,175,427,5,427,43,36,9,8,4,54,3,8,1,221,8,,,,0,,,,,0,0,,,0,,,0,,,,0,,,0,,0,1,,0,0,,,0,,0,0,,,0,,,0,,1,2,,0,0,0,,0,0,,0,0,,0,,1,4,0,0,0,23,427,427,585,5,,1,F,a7619698bdf5e11f154ac05e15e6db802743b045d20b03807ee38056008cd9cb,2018-07-02 04:32:00,2018-07-02 04:57:28,2018-07-02 04:59:19,CATD,Escaner,ACTA PREP
'210001C0200,210001C020003,21,PUEBLA,012,AMOZOC DE MOTA,0001,02,C,00,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,,Sin Acta,0,,,,,,,,
'210001C0300,210001C030003,21,PUEBLA,012,AMOZOC DE MOTA,0001,03,C,00,2,3,148,444,7,,51,51,12,17,14,22,7,4,1,225,8,,,,0,,,,,0,0,,,0,,,0,,,,0,,,0,,0,0,,0,0,,,0,,0,0,,,0,,,0,,4,0,,0,0,0,,0,0,,0,0,,0,,9,2,0,5,0,25,451,457,585,7,,1,F,1ed57f1396866a3181480dbd64d831920aa0145e3d46399cb89919352bdb4770,2018-07-02 04:41:00,2018-07-02 04:59:50,2018-07-02 05:03:25,CATD,Escaner,ACTA PREP
'210002B0100,210002B010003,21,PUEBLA,012,AMOZOC DE MOTA,0002,01,B,00,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,,Sin Acta,0,,,,,,,,
'210002C0100,210002C010003,21,PUEBLA,012,AMOZOC DE MOTA,0002,01,C,00,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,,Sin Acta,0,,,,,,,,
'210002C0200,210002C020003,21,PUEBLA,012,AMOZOC DE MOTA,0002,02,C,00,1,3,183,439,2,441,43,20,18,14,6,30,5,9,1,257,0,,,,0,,,,,0,0,,,0,,,0,,,,0,,,1,,0,0,,0,0,,,0,,0,0,,,0,,,0,,0,1,,0,0,0,,0,0,,0,0,,0,,6,3,0,6,0,21,441,441,604,2,,1,F,06572b374cab99922ac7d933bc0d204bd6e82ec8005314283aa38a431cc18628,2018-07-02 05:59:00,2018-07-02 06:13:16,2018-07-02 06:14:22,CATD,Escaner,ACTA PREP
'210002C0300,210002C030003,21,PUEBLA,012,AMOZOC DE MOTA,0002,03,C,00,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,,Sin Acta,0,,,,,,,,
'210003B0100,210003B010003,21,PUEBLA,012,AMOZOC DE MOTA,0003,01,B,00,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,,Sin Acta,0,,,,,,,,
'210003C0100,210003C010003,21,PUEBLA,012,AMOZOC DE MOTA,0003,01,C,00,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,,Sin Acta,0,,,,,,,,
