GUBERNATURA
02/07/2018 20:00 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
7548,7407,0,7407,98.1319,6232,82.5649,4.0805,1174,3705612,2516965,2506816,67.6491

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PV,MC,CPP,PSI,MORENA,PES,C_PT_MORENA_PES,C_PT_MORENA,C_PT_PES,C_MORENA_PES,C_PAN_PRD_MC_CPP_PSI,C_PAN_PRD_MC_CPP,C_PAN_PRD_MC_PSI,C_PAN_PRD_CPP_PSI,C_PAN_MC_CPP_PSI,C_PRD_MC_CPP_PSI,C_PAN_PRD_MC,C_PAN_PRD_CPP,C_PAN_PRD_PSI,C_PAN_MC_CPP,C_PAN_MC_PSI,C_PAN_CPP_PSI,C_PRD_MC_CPP,C_PRD_MC_PSI,C_PRD_CPP_PSI,C_MC_CPP_PSI,C_PAN_PRD,C_PAN_MC,C_PAN_CPP,C_PAN_PSI,C_PRD_MC,C_PRD_CPP,C_PRD_PSI,C_MC_CPP,C_MC_PSI,C_CPP_PSI,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'210001B0100,210001B010005,21,PUEBLA,012,AMOZOC DE MOTA,0001,01,B,00,2,5,163,437,6,443,84,43,6,19,13,37,11,0,184,5,7,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,1,12,443,439,586,6,,1,F,5cc36c282ee1eb08d23973d4fab546e67c9050a643c223af8bedbf963e416430,2018-07-02 04:27:00,2018-07-02 04:49:23,2018-07-02 04:53:32,CATD,Escaner,ACTA PREP
'210001C0100,210001C010005,21,PUEBLA,012,AMOZOC DE MOTA,0001,01,C,00,2,5,178,420,5,426,67,53,7,18,12,49,12,2,168,8,3,0,0,5,5,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,1,0,1,1,0,0,0,0,0,8,426,426,585,5,,1,F,5d59aac12fe2f06b095124dc7b3b82000eff75f679d699afa1713b75856471e6,2018-07-02 04:32:00,2018-07-02 04:54:56,2018-07-02 05:01:36,CATD,Escaner,ACTA PREP
'210001C0200,210001C020005,21,PUEBLA,012,AMOZOC DE MOTA,0001,02,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,,Sin Acta,0,,,,,,,,
'210001C0300,210001C030005,21,PUEBLA,012,AMOZOC DE MOTA,0001,03,C,00,2,5,148,444,7,0,74,72,13,20,21,26,21,1,162,9,11,2,0,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,12,451,456,585,7,,1,F,bcbe320fa9736334afeeed2f3898ee1b51f03f7e08d5068711d6395b45cb6aa3,2018-07-02 04:41:00,2018-07-02 05:05:55,2018-07-02 05:07:41,CATD,Escaner,ACTA PREP
'210002B0100,210002B010005,21,PUEBLA,012,AMOZOC DE MOTA,0002,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,,Sin Acta,0,,,,,,,,
'210002C0100,210002C010005,21,PUEBLA,012,AMOZOC DE MOTA,0002,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,,Sin Acta,0,,,,,,,,
'210002C0200,210002C020005,21,PUEBLA,012,AMOZOC DE MOTA,0002,02,C,00,1,5,183,439,2,441,81,33,18,10,22,13,9,2,204,7,8,1,0,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,11,441,436,604,2,,1,F,3530a93dccca28bd761361c71e8ee2c62f2acdb5e26dba812517673e61602248,2018-07-02 05:59:00,2018-07-02 06:10:10,2018-07-02 06:11:39,CATD,Escaner,ACTA PREP
'210002C0300,210002C030005,21,PUEBLA,012,AMOZOC DE MOTA,0002,03,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,,Sin Acta,0,,,,,,,,
'210003B0100,210003B010005,21,PUEBLA,012,AMOZOC DE MOTA,0003,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,,Sin Acta,0,,,,,,,,
'210003C0100,210003C010005,21,PUEBLA,012,AMOZOC DE MOTA,0003,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,,Sin Acta,0,,,,,,,,
'210003C0200,210003C020005,21,PUEBLA,012,AMOZOC DE MOTA,0003,02,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,,Sin Acta,0,,,,,,,,
'210004B0100,210004B010005,21,PUEBLA,012,AMOZOC DE MOTA,0004,01,B,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,,Sin Acta,0,,,,,,,,
'210004C0100,210004C010005,21,PUEBLA,012,AMOZOC DE MOTA,0004,01,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,,Sin Acta,0,,,,,,,,
'210004C0200,210004C020005,21,PUEBLA,012,AMOZOC DE MOTA,0004,02,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,,Sin Acta,0,,,,,,,,
'210004C0300,210004C030005,21,PUEBLA,012,AMOZOC DE MOTA,0004,03,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,,Sin Acta,0,,,,,,,,
'210005B0100,210005B010005,21,PUEBLA,012,AMOZOC DE MOTA,0005,01,B,00,2,5,274,458,0,458,100,40,15,27,10,9,13,25,159,11,7,3,0,4,6,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,14,458,452,712,0,,1,F,2bc84b7fb7221127b7140e9369406c62465c86c35395e6fd7a7ac3b5187de0e2,2018-07-02 03:43:00,2018-07-02 03:55:13,2018-07-02 03:56:10,CATD,Escaner,ACTA PREP
'210005C0100,210005C010005,21,PUEBLA,012,AMOZOC DE MOTA,0005,01,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,,Sin Acta,0,,,,,,,,
'210005C0200,210005C020005,21,PUEBLA,012,AMOZOC DE MOTA,0005,02,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,,Sin Acta,0,,,,,,,,
