sep=|
ESTADO|PARTIDO|CANDIDATO_PROPIETARIO
21|PAN|Enrique Cárdenas Sánchez|
21|PRI|Alberto Jiménez Merino|
21|PRD|Enrique Cárdenas Sánchez|
21|PT|Luis Miguel Gerónimo Barbosa Huerta|
21|PVEM|Luis Miguel Gerónimo Barbosa Huerta|
21|MC|Enrique Cárdenas Sánchez|
21|MORENA|Luis Miguel Gerónimo Barbosa Huerta|
21|PAN-PRD-MC|Enrique Cárdenas Sánchez|
21|PAN-PRD|Enrique Cárdenas Sánchez|
21|PAN-MC|Enrique Cárdenas Sánchez|
21|PRD-MC|Enrique Cárdenas Sánchez|
21|PT-PVEM-MORENA|Luis Miguel Gerónimo Barbosa Huerta|
21|PT-PVEM|Luis Miguel Gerónimo Barbosa Huerta|
21|PT-MORENA|Luis Miguel Gerónimo Barbosa Huerta|
21|PVEM-MORENA|Luis Miguel Gerónimo Barbosa Huerta|
